,category,header,content
77,politics,The Russia-Ukraine War Has Perhaps Revitalised Coal,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">Will the Move Towards or Away from Fossil Fuels Be Quickened? —  Balkan nations in Southeast Europe, in particular, are currently turning to the fossil fuel coal as they try to tackle the global surge in energy prices due to the Russia-Ukraine war. …</p>"
78,politics,A Divided World,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">In the last 2 weeks we have seen a lot of unrest in America due to the murder of a black person called ‘George Floyd’ by the police. Violent protests have broken down in various parts of America condemning Trump and his racist staments in the aftermath of George’s untimely…</p>"
79,politics,Pegasus And The Catalan Gate,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">Be careful, this is loaded with spy things. —  Do you remember the Pegasus project? In case it doesn’t sound familiar to you, it is malicious software that began to be talked about in 2016, when researchers from Lookout and Citizen Lab discovered an active threat that was capable of obtaining a person’s data stored on Apple servers, Google…</p>"
80,politics,I Smell a Musk-Rat,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">Elon Musk denies rumors that he’s changing Twitter’s name to “Squawk” —  Elon Musk has grown bored with cars and Mars. At what new challenge can this Ayn Randian hero with astronomical wealth and matching ego fail? Of course! Perfecting social media so that anybody can say or post anything! My fantasy interview with Elon “But E,” I’d say, “You’re fifteen years behind the industry. Uncensored free…</p>"
81,politics,What Is A Woman?,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">Answering the reactionary challenge —  Recently with the rise of transphobia across the US in particular, one of the questions transphobes have levied toward supporters of trans rights is what is a woman? This is obviously little more that an attempt to back people into a corner where reactionaries can give their stock reply of…</p>"
82,politics,"How to know who is responsible for war, planetary damage, and other atrocities.","<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">A little of the power of Maths and Logic, applied to human nature. —  Firstly, recall mathematically proven Metcalfe’s law, which states that the value of any network is proportional to the square of the number of users: Metcalfe's law - Wikipedia
Metcalfe's law states that the value of a telecommunications network is proportional to the square of the number of…en.wikipedia.org Add to that a mental note of what we mean by “Value”:</p>"
83,politics,Republicans are still scum,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">Just after news broke of President Joe Biden’s plan to fulfill his campaign promise to cancel student debt, Republicans introduced a bill that would explicitly bar him from doing so, despite evidence that the current towering burden of student debt constitutes a major economic crisis. GOP Senators Bill Cassidy (Louisiana)…</p>"
84,politics,No One is Neutral,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">The idea for this post emerged out of researching how universities have been transformed into businesses, but I wanted to focus on other areas for this post. No one is neutral is about understanding that neutrality itself is a political statement. To be neutral is to be political often with…</p>"
85,politics,"Why We Need to Ridicule Tucker Carlson, False Christians, And Creeps","<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">The tricky part is knowing who deserves ridicule and who deserves our compassion —  Late night and the nitwits Every late-night talk show tears into the Trumpeteers, Fox News, right-wing pundits, and of course, our delightfully deranged politicians. It gets a bit old, frankly. Yet, we need to continue to ridicule the ridiculous. …</p>"
86,politics,The History of Recognition Theory,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">Part of my series on the concept of recognition. —  Recognition Part 3: History of Recognition Theory - Insert Philosophy Here
The world needs more philosophy. More to the point, we all need to engage with the world with a more philosophical…pod.co Earlier parts: Why Ukrainians but not Syrians?
Text transcript of my recent podcast responding to Putin’s invasion of Ukrainemedium.com Both Tyranny and Justice Depend on Recognition
About villains, henchmen, dictatorships, and patriotism.dgilesphilosopher.medium.com</p>"
87,politics,Blockchain… The best of both worlds?,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">The 20th century was a very important century in the history of mankind. It was by far the most war-torn century of all time. Why is that one might ask? Well, many answers could be given to this question, but it is not my purpose to explore them now. What…</p>"
88,politics,China Banned it’s Own National Anthem,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">The war on truth is being fought right before our eyes —  I can’t say that the world’s twisted relationship with truth is all because of the former, failed president DJT. Although it does appear he’s allergic to the truth. That’s beside the point of this article. Truth has always been subjective to people in power, but Donald Trump was the ultimate…</p>"
89,politics,3 Thought-Provoking Reasons Why We Should Abolish the Army,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">War is not in our interests —  Armies exist for violent and selfish purposes, so they should be abolished. But to do so would need global agreement. Otherwise, there would be a threat to non-army states. Armies help to control people for the most part. The military will always be on the government’s side. Even if there…</p>"
90,politics,"Fortress Russia: To Survive the Sanctions, Vladimir Putin Advocates a Return to the Soviet Era.","<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">4 glaring examples of the new normality of the Russian people who must turn inward. —  More than sixty days after the beginning of Vladimir Putin’s war in Ukraine, we still have difficulty seeing a quick outcome to this conflict. I would like to be wrong, but I have the feeling that we are heading for a war of attrition whose death toll will, unfortunately, continue…</p>"
91,politics,Ukraine Will Not Lose and Russia Can Win,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">War devolves into a test of endurance Vladimir Putin, like a child running to his second favorite toy after losing the first, fired an intercontinental ballistic missile after the Ukrainians sentenced his favorite guided missile cruiser Moskva to a special underwater military operation. The Fuhrer had no choice. He had…</p>"
92,politics,"We’re All Going to Die, so Just Relax and Stop Worrying","<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">Optimists and doomsayers finally agree. —  Well, it’s official. Gun violence has become the leading cause of death for American children. Maybe it’s just my pessimism, but that feels preventable. Nobody sounds shocked. I guess everyone’s still at Coachella. We have companies now that charge hundreds of dollars to teach little kids how to throw crayons…</p>"
93,politics,Tory candidate who compared trans people to Nazis suspended from party,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">Alex Bramham made the comparison after his partner, known as Brad, first attracted controversy with a recolour of a Nazi swastika in pastels used for the transgender flag. —  Bramham, who was running for a position in LGBT+ Conservatives; a wing of the main party, has been suspended from the party as a whole. In a statement posted by LGBT+ Conservatives they state; “We have received multiple complaints regarding online posts from two members, one of whom is standing…</p>"
94,politics,A Conversation with President Bill Clinton (3 Takeaways),"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">The 42nd president of the United States, President Bill Clinton, visited Brown University this week. It was an outstanding event, in recognition of Brown scholar Casey Shearer. I had the privilege of being in the first few rows. Here are a few of my takeaways: The world needs short nonfiction President Clinton discussed his time…</p>"
95,politics,The Unmitigated Truth on What is Critical Race Theory (CRT),"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">Just know, that if the United States wasn’t a bad place, there would not have been a need for the Civil Rights Movement. If this country was not horrible, there would not have been a need to assassinate many leaders of before said movement. So with that understanding, I will…</p>"
96,politics,What Does Elon Musk Want To Change About Twitter?,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">Elon Musk’s Twitter takeover: $44 billion deal —  Who owns Twitter now? Or who is the owner of Twitter? — It’s official. It’s done. Twitter is currently owned by Elon Musk. Chances are, you’ve heard. Elon Musk is going to buy Twitter for $44 Billion. The story goes like this: Tesla and SpaceX founder and CEO, Elon Musk…</p>"
97,politics,Is Trump Coming Back to Twitter?,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">Only one factor will determine whether or not the 45th president will be allowed back on his favorite social media platform. The once-unthinkable has finally happened. On Monday, Elon Musk bought Twitter for $43 billion. All predictions that Musk was not serious, that he could not raise the capital, or…</p>"
98,politics,60 Days of War In Ukraine,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">What we have learned about Putin’s strategy —  For those who have never been in a combat zone (I’ve served in 4), once the bullets start flying, things get very confusing. You think you are ready, but all the training you’ve had keeps the muscle memory going despite the emotions you are having at the time. It’s something…</p>"
99,politics,The War in Ukraine as a Symptom of Tomorrow’s Collapse,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">Russia’s invasion of Ukraine is inexcusable. However many legitimate grievances Russia may have with the US and NATO in no way justify the horror of the war being waged. This article in no way seeks to excuse Russian aggression. But if cutting gas to nations in NATO is blackmail, what…</p>"
100,politics,American Hypocrite — Why?,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">I’m writing a series called American Hypocrite. Here is the first post. Why? My thoughts are still riding the waves of “Deconstruction”. This is a term used quite often to describe people rejecting the cultural aspects of the their “Evangelical” faith. I use the quotes because it’s weird and loaded…</p>"
101,politics,Why We need to Boycott Disney,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">Governor Ron DeSantis (R-Florida) has a brilliant strategy for his presidential run. DeSantis is running against the Walt Disney Company (NYSE: DIS), not Donald J. Trump Sr. (R-Florida) or President Joe Biden (D-Delaware). The strategy is stupid because Disney is a corporation that runs movie studios, video streaming services, theme…</p>"
102,politics,"Otello Chelli, “Rizio”","<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">Rizio belongs to the “Morgiano lineage”, he is young, handsome, poor. Rizio is a hard and pure Communist, with a noble, supportive, almost evangelical soul. He lives in the slum, built on the lawns of the Nuova fortress following the bombing that devastated Livorno. Well-liked by the leaders of…</p>"
103,politics,Disney & Marvel Studios have been Mishandling Black Widow for Years,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">At this point it doesn’t really matter when they release the film That girl is on fire! Image: Marvel Studios For those of us that begged for a solo Black Widow film, who patiently endured assurances it was going to happen soon, eventually, who then watched Natasha die in Endgame in such a way as to take resurrection completely off the table…</p>"
104,politics,Democracy — Bob and Dave,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">Democracy has several things going for it. First, if it all goes wrong, there’s no one person to blame. It is faceless. I had this thought while having a beer and sitting in a pub here in the Midwest. The very best thing about Democracy is optimism. It assumes overall superiority. —  Elected officials flinch first and change course second. Take the guy sitting at the other end of the bar; he seems a genuine red-neck Republican. But, no, seriously, they have a specific look. He’s flipping a beer mat between his fingers, thinking the Biden administration has ruined his life. He…</p>"
105,politics,Prelude: Understanding Politics,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">I love Virginia, I have been obsessively studying political science says 2016 both the internal mechanism and the global geopolitical arena, I’m very grateful to be a citizen of the United States and it is more to me than a prosperous life, but I embrace the ideals the country stands…</p>"
106,politics,Regarding the 2022 midterms: Crime & Schools,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">So by now, we’ve all heard about the crime wave that is sweeping across the news and sigh…Fox News, no less. We’ve also heard about the CRT and the indoctrination and the parents’ rights topics too. And as expected, they are not favorable topics for Democrats to be talking about…</p>"
107,politics,Hot People and You,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">Daily Meditation — 4/27/2022 Your friend points out an attractive person. Their body is nice, and sure they have good features, but you don’t feel the pull… Meanwhile, your friend is insisting they are flawless — perfect eyes, the best hair, and the most irresistible body. They rave on and on, obsessing. This is all perception of the individual and differences in perception. So why can’t you understand these differences with politics?
Religion?
Approaches to work?</p>"
108,politics,Obama and America’s “Eroding Democracy”,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">In Obama’s recent speech he trotted out the establishment line that our “democracy” is in crisis and is eroding, implying that it was at one time a well functioning democracy representing the will of the people. I’m wondering when that was exactly? Every time one of these clowns tells us…</p>"
109,politics,How ‘Legalized Corruption’ Is Stealing Your Future,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">And it always will if we don’t get rid of it —  Slag, gob, culm. These are dirty words, not to be used in your bedroom, but made to denote a unique form of waste left behind by coal mining. The word ‘gob’ was originally an acronym, standing in for ‘garbage of bituminous,’ and the thing-itself is as ugly as the word…</p>"
110,politics,"The False Narrative that the Right, the Left, and Christianity can co-exist","<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">In the West, the political landscape is easily drawn between two ‘ideologies’ or ‘factions’ — the ‘left’ and the ‘right’, with one — the left, seeking to erode natural law and advance the role of the state in every aspect of human existence, and the right, focused on expanding the…</p>"
111,politics,Our Society Has Metastatic Cancer,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">We do not need a doctor specialist in government to tell us that. The United States will die unless we work together to rebuild a healthy society regardless of ideology. We, the people, need to recapacitate what the government is. How the government operates. They are NOT who we follow for direction. They follow us. We…</p>"
112,politics,China’s Soccer Desires,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">The beautiful tool… —  The Chinese government have their eyes on the beautiful game and they’ve long had the sport within their sights. It’s a nation that wants to show itself to the world, screaming “acknowledge me” at every turn. It’s a nation that should be acknowledge. What greater way to size yourself up…</p>"
113,politics,We Should Never Allow Republicans to Hold Power Again,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">When it mattered most, Kevin McCarthy and Mitch McConnell chose power over the country —  TRADING IS AS MUCH ART AS IT IS SCIENCE. No matter what the analysis, the charts, or the algorithms say, sometimes a trader goes with their gut. Maybe it’s a feeling about the market’s direction or stock that doesn’t feel right. Other times, it’s a hunch regarding a merger that…</p>"
114,politics,Social Media Responses to Obvious Skin Bleaching Show Why This Dangerous Practice Continues Unabated in Africa,
115,politics,The Appalling Consequences of Trump Returning to Twitter,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">Why do Republicans want this? —  Elon Musk’s offer to buy Twitter must have Republicans cheering. Musk says he wants to open “free speech,” which we can only guess means to allow the likes of Donald Trump, Qanon, and other hate speakers to get access back to the platform. Musk has criticized the Trump ban and…</p>"
116,politics,Christian Karen held me hostage during a blood draw,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">Why do Christian zealots think the rest of us want to hear their opinions or their conversion attempts? —  As I sat in the lab at the hospital next to my doctor’s office, a needle in my arm as nine vials of blood were being drawn, I was held hostage to a religious sermon that I did not consent to. When exactly did the separation of church and state…</p>"
117,politics,"Elon Musk, The Free Speech Absolutist?","<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">Think again…. At the heart of Elon Musk’s successful takeover bid of Twitter was his spiel about being a free speech absolutist. In his libertarian eyes, the most powerful social media tool around, had become intolerant of dissenting political views and was too quick in clamping down on comments that…</p>"
118,politics,Why We Shouldn't Say “Tankie”,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">To be entirely transparent, this quick essay is meant to explain my belief that the term Tankie should be abandoned in political discourse, which is inspired by it sounding cringy to me but more importantly it is a vague and inconsistent term that we could replace with more precise terms…</p>"
119,politics,The C.W.O.,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">The last essay focused on what was referred to as metapolitics, the idea that there is something spiritual behind human affairs. This idea negates political systems based on discourse and compromise, which is the nature of representative governments. Metapolitics asserts that there exists a set of essential laws that necessarily…</p>"
120,politics,Why is Medical Marijuana Legalization Stalling in Nebraska? A Governor’s Legacy of Greed and Self-Interest,
121,politics,Why I am running for Lieutenant Governor with Doug Gansler,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">When I stepped down as Mayor of the City of Hyattsville in December 2020, I had no intention of getting back into politics — at least not as an elected official. I’d decided to focus on the important work of growing Our Black Party, an organization I co-founded earlier that…</p>"
122,politics,"If Musk Lets Trump Back Into Twitter, I Quit","<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">I may quit anyway if too much “free” hate shows up —  I don’t like Elon Musk. That’s a simple enough statement of fact. I made a nice profit from buying Tesla stock very early, but I dumped it all last year because I think Elon, like most billionaires, is a danger to himself and others. …</p>"
123,politics,Stop Chewing Silicon Valley Garbage,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">I’ve had the privilege of speaking with the younger diaspora a lot over the last one decade. One thing that seems to be be common is the fascination people have with America. The reason could be attributed to the powerful mass media machinery America had. It helped America to a…</p>"
124,politics,Argentina: Meritocracy and ‘Cryptocapitalism’,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">It’s about time to make a change, don’t relax, do it slowly. We’re still a young country, that’s our fault and there’s so much we have to go through. Find a fight, act up, if you want, you can bargain, look at Finland* they’re old, but they’re happy+ —  Meritocracy: Capable technical bureaucrats The Argentinean State is dysfunctional. Some of the people who work in it are good, capable and responsible, committed to the many levels of public service, allowing the gears of the immense state machinery to move slowly and heavily.</p>"
125,politics,"Stats That Prove Republicans Are Right, Books Are Dangerous and Need to be Banned","<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">Here’s a look at book-related deaths in the United States, based on a Pew Research Center analysis of data from the CDC, the FBI and other sources. In 2020, the most recent year for which complete data is available, more Americans died of book-related injuries (45,222) than in any other…</p>"
